 market ,market_category
 News ,News & Media & Publushing
 Games ,Technology
 Tourism ,Travel
 Software ,Technology
 Health and Wellness ,Health & Wellness
 Real Estate ,Real Estate
 E-Commerce ,Technology
 Search ,Technology
 Curated Web ,Technology
 Health Care Information Technology ,Health & Wellness
 Analytics ,Technology
 Electronics ,Science & Engineering & Electronics
 Biotechnology ,Biotech & Pharma
 Enterprise Software ,Technology
 Sports ,Health & Wellness
 Pharmaceuticals ,Biotech & Pharma
 Manufacturing ,Manufacturing
 Advertising ,Marketing
 Entertainment ,Leisure & Entertainment
 Designers ,Art & Fashion & Music
 Lifestyle ,Leisure & Entertainment
 Video Chat ,Technology
 Social Media ,Technology
 Financial Services ,Finance & Business
 Art ,Art & Fashion & Music
 Big Data ,Technology
 Finance ,Finance & Business
 Hardware + Software ,Technology
 Social Fundraising ,Finance & Business
 Clean Technology ,Energy
 Outsourcing ,Finance & Business
 Corporate IT ,Technology
 Mobile Social ,Technology
 Messaging ,Technology
 Photography ,Art & Fashion & Music
 Transportation ,Transportation
 Consumer Electronics ,Science & Engineering & Electronics
 Services ,Consumer Services
 Bitcoin ,Technology
 Mobile ,Buildings & Infrastructure & Telecomm
 Electronic Health Records ,Health & Wellness
 Customer Service ,Finance & Business
 3D ,Science & Engineering & Electronics
 Drones ,Science & Engineering & Electronics
 Physicians ,Health & Wellness
 Automotive ,Transportation
 Retail ,Finance & Business
 3D Printing ,Science & Engineering & Electronics
 Music ,Art & Fashion & Music
 Web Hosting ,Technology
 Human Resources ,Finance & Business
 Security ,Technology
 Flash Storage ,Technology
 Machine Learning ,Technology
 Entrepreneur ,Finance & Business
 Commercial Real Estate ,Real Estate
 Web Design ,Technology
 Cloud Computing ,Technology
 Kids ,People
 Women ,People
 Technology ,Technology
 Medical ,Health & Wellness
 Video ,Technology
 Distribution ,Transportation
 Mobile Games ,Technology
 Internet Marketing ,Marketing
 Predictive Analytics ,Technology
 Nanotechnology ,Science & Engineering & Electronics
 Small and Medium Businesses ,Finance & Business
 SEO ,Technology
 Digital Entertainment ,Leisure & Entertainment
 Virtual Worlds ,Technology
 Fashion ,Art & Fashion & Music
 Telecommunications ,Finance & Business
 Consulting ,Finance & Business
 Design ,Art & Fashion & Music
 SaaS ,Technology
 Mobile Payments ,Finance & Business
 Travel & Tourism ,Travel
 Social Games ,Technology
 Hospitality ,Travel
 Water Purification ,Science & Engineering & Electronics
 Business Productivity ,Finance & Business
 Communications Hardware ,Technology
 Batteries ,Science & Engineering & Electronics
 Advertising Platforms ,Marketing
 Health Care ,Health & Wellness
 Fitness ,Health & Wellness
 Cloud Infrastructure ,Technology
 Accounting ,Finance & Business
 Online Travel ,Travel
 Sales and Marketing ,Marketing
 M2M ,Technology
 Solar ,Energy
 Identity Management ,Technology
 Business Services ,Finance & Business
 Education ,Education
 Apps ,Technology
 Medical Devices ,Health & Wellness
