company_name,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
#waywire,News,USA,NY,New York City,New York,Curated Web,USA,NY,New York City,New York,10/17/2013,2013-10,2013-Q4,2013,,USD
(fluff)Friends,,,,,,Games,USA,CA,Los Angeles,Beverly Hills,9/16/2008,2008-09,2008-Q3,2008,,USD
(RED),Nonprofits,USA,NY,New York City,New York,Finance,USA,TX,Dallas,Lewisville,5/8/2014,2014-05,2014-Q2,2014,"18,000,000",USD
.,,,,,,,USA,FL,Palm Beaches,West Palm Beach,1/1/2011,2011-01,2011-Q1,2011,,USD
.CO,Registrars,USA,FL,Miami,Miami,Analytics,USA,VA,"Washington, D.C.",Sterling,3/20/2014,2014-03,2014-Q1,2014,"109,000,000",USD
.vantronix,Cloud Security,DEU,,Hanover,Hanover,,,,,,1/1/2011,2011-01,2011-Q1,2011,,USD
003.RU,,RUS,,Moscow,Moscow,Media,ESP,,Barcelona,Barcelona,7/23/2012,2012-07,2012-Q3,2012,,USD
0958572 B.C. Ltd.,,,,,,Mobile,USA,WA,Seattle,Seattle,2/2/2012,2012-02,2012-Q1,2012,"9,000,000",USD
1 Nation Technology,,,,,,,USA,FL,Tampa,Oldsmar,1/1/2006,2006-01,2006-Q1,2006,,USD
1-800 Contacts,Retail,USA,UT,Salt Lake City,Draper,Business Development,USA,MA,Boston,Boston,1/7/2014,2014-01,2014-Q1,2014,,USD
1000 Markets,Marketplaces,,,,,Fashion,USA,WA,Seattle,Seattle,9/22/2012,2012-09,2012-Q3,2012,,USD
1000memories,Curated Web,USA,CA,SF Bay Area,San Francisco,Internet,USA,UT,Salt Lake City,Provo,10/3/2012,2012-10,2012-Q4,2012,,USD
100Plus,Analytics,USA,CA,SF Bay Area,San Francisco,Health and Wellness,USA,CA,SF Bay Area,San Francisco,2/27/2013,2013-02,2013-Q1,2013,,USD
10best,Curated Web,USA,SC,Greenville - Spartanburg,Greenville,Career Planning,USA,CA,SF Bay Area,San Francisco,1/25/2011,2011-01,2011-Q1,2011,,USD
10East,Web Hosting,USA,FL,Jacksonville,Jacksonville,Enterprise Software,,,,,4/14/2009,2009-04,2009-Q2,2009,,USD
10K Wizard,Big Data,,,,,Investment Management,USA,IL,Chicago,Chicago,12/4/2008,2008-12,2008-Q4,2008,,USD
118Boardshop.com,,,,,,Sports,USA,CA,San Luis Obispo,San Luis Obispo,10/1/2011,2011-10,2011-Q4,2011,,USD
123LinkIt.com,Advertising,,,,,Content Syndication,USA,CA,SF Bay Area,Los Gatos,12/6/2011,2011-12,2011-Q4,2011,,USD
12designer,Creative,DEU,,Berlin,Berlin,Design,USA,CA,SF Bay Area,San Francisco,8/6/2012,2012-08,2012-Q3,2012,,USD
12Society,E-Commerce,USA,CA,Los Angeles,West Hollywood,E-Commerce,USA,CA,Los Angeles,West Hollywood,7/3/2013,2013-07,2013-Q3,2013,,USD
160by2,,,,,,Mobile,IND,,Hyderabad,Hyderabad,1/4/2012,2012-01,2012-Q1,2012,,USD
170 Systems,Software,USA,MA,Boston,Bedford,Software,USA,CA,Anaheim,Irvine,9/8/2009,2009-09,2009-Q3,2009,"43,000,000",USD
1Form.com,,NOR,,Aust-Agder,,News,AUS,,Melbourne,Melbourne,1/14/2014,2014-01,2014-Q1,2014,"15,000,000",USD
1st Choice Security Solutions,Security,USA,GA,Atlanta,Atlanta,,USA,PA,Philadelphia,West Chester,4/13/2011,2011-04,2011-Q2,2011,,USD
1st United Bancorp,Banking,,,,,Banking,USA,NV,Las Vegas,Las Vegas,5/8/2014,2014-05,2014-Q2,2014,"300,000,000",USD
1Up,Software,,,,,Curated Web,USA,NY,New York City,New York,1/6/2009,2009-01,2009-Q1,2009,,USD
1Vault Networks,Software,,,,,Web Hosting,USA,NC,Charlotte,Charlotte,12/22/2009,2009-12,2009-Q4,2009,,USD
2020 Social,Communities,IND,,New Delhi,New Delhi,Public Relations,FRA,,Paris,Paris,10/1/2010,2010-10,2010-Q4,2010,,USD
20:20 Media,,IND,,New Delhi,Noida,Public Relations,FRA,,Paris,Paris,10/1/2010,2010-10,2010-Q4,2010,,USD
21st Century Infra Tele,Public Relations,USA,IN,IN - Other,,Public Relations,IND,,Hyderabad,Hyderabad,4/6/2010,2010-04,2010-Q2,2010,,USD
21st Century Insurance,Business Services,USA,AL,AL - Other,De Armanville,Insurance,USA,NY,New York City,New York,9/1/2007,2007-09,2007-Q3,2007,"749,000,000",USD
22Touch,,,,,,Professional Services,USA,ID,ID - Other,Meridian,11/1/2013,2013-11,2013-Q4,2013,,USD
